date,federalState,schoolVacation,population
2020-06-21,Mecklenburg-Vorpommern,0,1628378
2020-06-21,Niedersachsen,0,8140242
2020-06-21,Nordrhein-Westfalen,0,18139116
2020-06-21,Rheinland-Pfalz,0,4158150
2020-06-21,Saarland,0,992666
2020-06-21,Sachsen,0,4086152
2020-06-21,Sachsen-Anhalt,0,2186643
2020-06-21,Schleswig-Holstein,0,2953270
2020-06-21,Thüringen,0,2126836
2020-06-28,Baden-Württemberg,0,11280257
2020-06-28,Bayern,0,13369393
2020-06-28,Berlin,4,3755251
2020-06-28,Brandenburg,4,2573135
2020-06-28,Bremen,0,684864
2020-06-28,Hamburg,4,1892122
2020-06-28,Hessen,0,6391360
2020-06-28,Mecklenburg-Vorpommern,5,1628378
2020-06-28,Niedersachsen,0,8140242
2020-06-28,Nordrhein-Westfalen,0,18139116
2020-06-28,Rheinland-Pfalz,0,4158150
2020-06-28,Saarland,0,992666
2020-06-28,Sachsen,0,4086152
2020-06-28,Sachsen-Anhalt,0,2186643
2020-06-28,Schleswig-Holstein,0,2953270
2020-06-28,Thüringen,0,2126836
2020-07-05,Baden-Württemberg,0,11280257
2020-07-05,Bayern,0,13369393
2020-07-05,Berlin,5,3755251
2020-07-05,Brandenburg,5,2573135
2020-07-05,Bremen,0,684864
2020-07-05,Hamburg,5,1892122
2020-07-05,Hessen,0,6391360
2020-07-05,Mecklenburg-Vorpommern,5,1628378
2020-07-05,Niedersachsen,0,8140242
2020-07-05,Nordrhein-Westfalen,5,18139116
2020-07-05,Rheinland-Pfalz,0,4158150
2020-07-05,Saarland,0,992666
2020-07-05,Sachsen,0,4086152
2020-07-05,Sachsen-Anhalt,0,2186643
2020-07-05,Schleswig-Holstein,5,2953270
2020-07-05,Thüringen,0,2126836
2020-07-12,Baden-Württemberg,0,11280257
2020-07-12,Bayern,0,13369393
2020-07-12,Berlin,5,3755251
2020-07-12,Brandenburg,5,2573135
2020-07-12,Bremen,0,684864
2020-07-12,Hamburg,5,1892122
2020-07-12,Hessen,5,6391360
2020-07-12,Mecklenburg-Vorpommern,5,1628378
2020-07-12,Niedersachsen,0,8140242
2020-07-12,Nordrhein-Westfalen,5,18139116
2020-07-12,Rheinland-Pfalz,5,4158150
2020-07-12,Saarland,5,992666
2020-07-12,Sachsen,0,4086152
2020-07-12,Sachsen-Anhalt,0,2186643
2020-07-12,Schleswig-Holstein,5,2953270
2020-07-12,Thüringen,0,2126836
2020-07-19,Baden-Württemberg,0,11280257
2020-07-19,Bayern,0,13369393
2020-07-19,Berlin,5,3755251
2020-07-19,Brandenburg,5,2573135
2020-07-19,Bremen,4,684864
2020-07-19,Hamburg,5,1892122
2020-07-19,Hessen,5,6391360
2020-07-19,Mecklenburg-Vorpommern,5,1628378
2020-07-19,Niedersachsen,4,8140242
2020-07-19,Nordrhein-Westfalen,5,18139116
2020-07-19,Rheinland-Pfalz,5,4158150
2020-07-19,Saarland,5,992666
2020-07-19,Sachsen,0,4086152
2020-07-19,Sachsen-Anhalt,4,2186643
2020-07-19,Schleswig-Holstein,5,2953270
2020-07-19,Thüringen,0,2126836
2020-07-26,Baden-Württemberg,0,11280257
2020-07-26,Bayern,0,13369393
2020-07-26,Berlin,5,3755251
2020-07-26,Brandenburg,5,2573135
2020-07-26,Bremen,5,684864
2020-07-26,Hamburg,5,1892122
2020-07-26,Hessen,5,6391360
2020-07-26,Mecklenburg-Vorpommern,5,1628378
2020-07-26,Niedersachsen,5,8140242
2020-07-26,Nordrhein-Westfalen,5,18139116
2020-07-26,Rheinland-Pfalz,5,4158150
2020-07-26,Saarland,5,992666
2020-07-26,Sachsen,5,4086152
2020-07-26,Sachsen-Anhalt,5,2186643
2020-07-26,Schleswig-Holstein,5,2953270
2020-07-26,Thüringen,5,2126836
2020-08-02,Baden-Württemberg,4,11280257
2020-08-02,Bayern,5,13369393
2020-08-02,Berlin,5,3755251
2020-08-02,Brandenburg,5,2573135
2020-08-02,Bremen,5,684864
2020-08-02,Hamburg,5,1892122
2020-08-02,Hessen,5,6391360
2020-08-02,Mecklenburg-Vorpommern,5,1628378
2020-08-02,Niedersachsen,5,8140242
2020-08-02,Nordrhein-Westfalen,5,18139116
2020-08-02,Rheinland-Pfalz,5,4158150
2020-08-02,Saarland,5,992666
2020-08-02,Sachsen,5,4086152
2020-08-02,Sachsen-Anhalt,5,2186643
2020-08-02,Schleswig-Holstein,5,2953270
2020-08-02,Thüringen,5,2126836
2020-08-09,Baden-Württemberg,5,11280257
2020-08-09,Bayern,5,13369393
2020-08-09,Berlin,5,3755251
2020-08-09,Brandenburg,5,2573135
2020-08-09,Bremen,5,684864
2020-08-09,Hamburg,3,1892122
2020-08-09,Hessen,5,6391360
2020-08-09,Mecklenburg-Vorpommern,0,1628378
2020-08-09,Niedersachsen,5,8140242
2020-08-09,Nordrhein-Westfalen,5,18139116
2020-08-09,Rheinland-Pfalz,5,4158150
2020-08-09,Saarland,5,992666
2020-08-09,Sachsen,5,4086152
2020-08-09,Sachsen-Anhalt,5,2186643
2020-08-09,Schleswig-Holstein,5,2953270
2020-08-09,Thüringen,5,2126836
2020-08-16,Baden-Württemberg,5,11280257
2020-08-16,Bayern,5,13369393
2020-08-16,Berlin,0,3755251
2020-08-16,Brandenburg,0,2573135
2020-08-16,Bremen,5,684864
2020-08-16,Hamburg,0,1892122
2020-08-16,Hessen,5,6391360
2020-08-16,Mecklenburg-Vorpommern,0,1628378
2020-08-16,Niedersachsen,5,8140242
2020-08-16,Nordrhein-Westfalen,2,18139116
2020-08-16,Rheinland-Pfalz,5,4158150
2020-08-16,Saarland,5,992666
2020-08-16,Sachsen,5,4086152
2020-08-16,Sachsen-Anhalt,5,2186643
2020-08-16,Schleswig-Holstein,0,2953270
2020-08-16,Thüringen,5,2126836
2020-08-23,Baden-Württemberg,5,11280257
2020-08-23,Bayern,5,13369393
2020-08-23,Berlin,0,3755251
2020-08-23,Brandenburg,0,2573135
2020-08-23,Bremen,5,684864
