date;BundeslandID;outOfHomeDuration;percentageChangeComparedToBeforeCorona
20200918;Saarland;8.02;4
20200918;Sachsen-Anhalt;8.58;11
20200918;Rheinland-Pfalz;8.59;4
20200918;Schleswig-Holstein;8.47;12
20200925;Baden-Württemberg;8.26;3
20200925;Hessen;8.17;1
20200925;Berlin;8.02;3
20200925;Brandenburg;8.03;8
20200925;Sachsen;8.24;8
20200925;Bayern;8.18;2
20200925;Nordrhein-Westfalen;7.87;4
20200925;Hamburg;8.05;7
20200925;Mecklenburg-Vorpommern;8.790000000000001;12
20200925;Niedersachsen;8.25;4
20200925;Deutschland;8.17;4
20200925;Bremen;8.49;6
20200925;Thüringen;8.4;6
20200925;Saarland;7.97;3
20200925;Sachsen-Anhalt;8.42;9
20200925;Rheinland-Pfalz;8.620000000000001;4
20200925;Schleswig-Holstein;8.2;8
20201002;Baden-Württemberg;8.28;4
20201002;Hessen;8.19;1
20201002;Berlin;7.84;1
20201002;Brandenburg;7.9;7
20201002;Sachsen;8.11;6
20201002;Bayern;8.26;3
20201002;Nordrhein-Westfalen;7.87;4
20201002;Hamburg;7.7700000000000005;3
20201002;Mecklenburg-Vorpommern;8.72;11
20201002;Niedersachsen;8.14;3
20201002;Deutschland;8.13;4
20201002;Bremen;8.25;3
20201002;Thüringen;8.34;6
20201002;Saarland;8.06;5
20201002;Sachsen-Anhalt;8.3;7
20201002;Rheinland-Pfalz;8.56;3
20201002;Schleswig-Holstein;7.98;5
20201009;Baden-Württemberg;8.3;4
20201009;Hessen;7.930000000000001;-2
20201009;Berlin;7.61;-2
20201009;Brandenburg;7.84;6
20201009;Sachsen;8.06;5
20201009;Bayern;8.26;3
20201009;Nordrhein-Westfalen;8.06;7
20201009;Hamburg;7.41;-2
20201009;Mecklenburg-Vorpommern;8.290000000000001;5
20201009;Niedersachsen;8.05;2
20201009;Deutschland;8.1;3
20201009;Bremen;8.2;2
20201009;Thüringen;8.22;4
20201009;Saarland;8.16;6
20201009;Sachsen-Anhalt;8.2;6
20201009;Rheinland-Pfalz;8.64;4
20201009;Schleswig-Holstein;7.58;0
20201016;Baden-Württemberg;8.11;1
20201016;Hessen;7.69;-5
20201016;Berlin;6.76;-13
20201016;Brandenburg;7.24;-2
20201016;Sachsen;7.75;1
20201016;Bayern;8.120000000000001;1
20201016;Nordrhein-Westfalen;7.55;0
20201016;Hamburg;6.99;-7
20201016;Mecklenburg-Vorpommern;8.42;7
20201016;Niedersachsen;7.5;-5
20201016;Deutschland;7.74;-1
20201016;Bremen;7.42;-8
20201016;Thüringen;7.96;1
20201016;Saarland;7.5600000000000005;-2
20201016;Sachsen-Anhalt;7.92;2
20201016;Rheinland-Pfalz;8.08;-3
20201016;Schleswig-Holstein;7.41;-2
20201023;Baden-Württemberg;8.09;1
20201023;Hessen;8.06;0
20201023;Berlin;6.7700000000000005;-13
20201023;Brandenburg;7.32;-1
20201023;Sachsen;7.5;-2
20201023;Bayern;8.120000000000001;1
20201023;Nordrhein-Westfalen;7.43;-2
20201023;Hamburg;7.22;-4
20201023;Mecklenburg-Vorpommern;8.34;6
20201023;Niedersachsen;7.4;-7
20201023;Deutschland;7.71;-2
20201023;Bremen;7.34;-9
20201023;Thüringen;7.76;-2
20201023;Saarland;7.54;-2
20201023;Sachsen-Anhalt;7.62;-2
20201023;Rheinland-Pfalz;8.040000000000001;-3
20201023;Schleswig-Holstein;7.69;1
20201030;Baden-Württemberg;7.42;-7
20201030;Hessen;7.7700000000000005;-4
20201030;Berlin;6.87;-12
20201030;Brandenburg;7.23;-2
20201030;Sachsen;7.11;-7
20201030;Bayern;7.69;-4
20201030;Nordrhein-Westfalen;7.73;2
20201030;Hamburg;6.98;-7
20201030;Mecklenburg-Vorpommern;7.91;0
20201030;Niedersachsen;7.54;-5
20201030;Deutschland;7.57;-3
20201030;Bremen;7.49;-7
20201030;Thüringen;7.33;-7
20201030;Saarland;7.78;1
20201030;Sachsen-Anhalt;7.65;-1
20201030;Rheinland-Pfalz;8.14;-2
20201030;Schleswig-Holstein;7.37;-3
20201106;Baden-Württemberg;7.53;-6
20201106;Hessen;7.3;-10
20201106;Berlin;6.8;-13
20201106;Brandenburg;7.140000000000001;-4
20201106;Sachsen;7.38;-3
20201106;Bayern;7.12;-11
20201106;Nordrhein-Westfalen;7.32;-3
20201106;Hamburg;6.78;-10
20201106;Mecklenburg-Vorpommern;7.61;-3
20201106;Niedersachsen;7.37;-7
20201106;Deutschland;7.33;-7
20201106;Bremen;7.34;-9
20201106;Thüringen;7.53;-4
20201106;Saarland;7.37;-4
20201106;Sachsen-Anhalt;7.640000000000001;-1
20201106;Rheinland-Pfalz;7.7700000000000005;-6
20201106;Schleswig-Holstein;7.17;-6
20201113;Baden-Württemberg;7.54;-6
20201113;Hessen;7.44;-8
20201113;Berlin;6.88;-12
20201113;Brandenburg;7.0;-6
20201113;Sachsen;7.47;-2
20201113;Bayern;7.51;-6
20201113;Nordrhein-Westfalen;7.48;-1
20201113;Hamburg;7.0200000000000005;-7
20201113;Mecklenburg-Vorpommern;7.48;-5
20201113;Niedersachsen;7.48;-6
20201113;Deutschland;7.46;-5
20201113;Bremen;7.54;-6
20201113;Thüringen;7.58;-4
20201113;Saarland;7.5200000000000005;-2
20201113;Sachsen-Anhalt;7.640000000000001;-1
20201113;Rheinland-Pfalz;7.8;-6
20201113;Schleswig-Holstein;7.34;-3
20201120;Baden-Württemberg;7.48;-6
20201120;Hessen;7.38;-9
20201120;Berlin;6.390000000000001;-18
20201120;Brandenburg;6.9;-7
20201120;Sachsen;7.05;-8
20201120;Bayern;7.37;-8
20201120;Nordrhein-Westfalen;7.38;-2
20201120;Hamburg;6.44;-14
20201120;Mecklenburg-Vorpommern;7.37;-6
20201120;Niedersachsen;7.07;-11
20201120;Deutschland;7.25;-8
20201120;Bremen;7.01;-13
20201120;Thüringen;7.3;-8
20201120;Saarland;7.6000000000000005;-1
20201120;Sachsen-Anhalt;7.34;-5
20201120;Rheinland-Pfalz;7.76;-6
20201120;Schleswig-Holstein;6.88;-9
20201127;Baden-Württemberg;7.53;-6
20201127;Hessen;7.33;-9
20201127;Berlin;6.34;-19
20201127;Brandenburg;6.8;-8
20201127;Sachsen;7.0600000000000005;-8
20201127;Bayern;7.4;-8
20201127;Nordrhein-Westfalen;7.390000000000001;-2
20201127;Hamburg;6.57;-13
20201127;Mecklenburg-Vorpommern;7.26;-8
20201127;Niedersachsen;7.21;-9
20201127;Deutschland;7.29;-7
20201127;Bremen;7.140000000000001;-11
20201127;Thüringen;7.19;-9
20201127;Saarland;7.44;-3
20201127;Sachsen-Anhalt;7.3;-6
20201127;Rheinland-Pfalz;7.72;-7
20201127;Schleswig-Holstein;7.0600000000000005;-7
20201204;Baden-Württemberg;7.55;-6
20201204;Hessen;7.58;-6
20201204;Berlin;7.01;-10
20201204;Brandenburg;7.13;-4
20201204;Sachsen;7.28;-5
20201204;Bayern;7.48;-7
20201204;Nordrhein-Westfalen;7.68;2
20201204;Hamburg;7.12;-6
20201204;Mecklenburg-Vorpommern;7.59;-4
20201204;Niedersachsen;7.42;-6
20201204;Deutschland;7.51;-4
20201204;Bremen;7.61;-5
20201204;Thüringen;7.34;-7
20201204;Saarland;7.76;1
20201204;Sachsen-Anhalt;7.54;-3
20201204;Rheinland-Pfalz;7.890000000000001;-5
20201204;Schleswig-Holstein;7.32;-4
20201211;Baden-Württemberg;7.49;-6
20201211;Hessen;7.33;-9
20201211;Berlin;6.91;-11
20201211;Brandenburg;7.04;-5
20201211;Sachsen;7.25;-5
20201211;Bayern;7.29;-9
20201211;Nordrhein-Westfalen;7.42;-2
20201211;Hamburg;7.03;-7
20201211;Mecklenburg-Vorpommern;7.54;-4
20201211;Niedersachsen;7.43;-6
20201211;Deutschland;7.37;-6
20201211;Bremen;7.66;-5
20201211;Thüringen;7.25;-8
20201211;Saarland;7.44;-3
20201211;Sachsen-Anhalt;7.46;-4
20201211;Rheinland-Pfalz;7.69;-7
20201211;Schleswig-Holstein;7.2700000000000005;-4
20201218;Baden-Württemberg;7.04;-12
20201218;Hessen;6.87;-15
20201218;Berlin;6.09;-22
20201218;Brandenburg;6.5200000000000005;-12
20201218;Sachsen;6.21;-19
20201218;Bayern;6.9;-14
20201218;Nordrhein-Westfalen;6.71;-11
20201218;Hamburg;6.22;-17
20201218;Mecklenburg-Vorpommern;6.890000000000001;-13
20201218;Niedersachsen;6.72;-15
20201218;Deutschland;6.76;-14
20201218;Bremen;6.8500000000000005;-15
20201218;Thüringen;6.71;-15
20201218;Saarland;6.97;-10
20201218;Sachsen-Anhalt;6.86;-11
20201218;Rheinland-Pfalz;7.22;-13
20201218;Schleswig-Holstein;6.390000000000001;-16
20201225;Baden-Württemberg;6.1000000000000005;-6
20201225;Hessen;5.8100000000000005;-10
20201225;Berlin;5.21;-2
20201225;Brandenburg;5.45;-11
20201225;Sachsen;5.44;-12
